其他,#genre#
CBSN HD,https://yydsxll.serv00.net/Smartv.php?id=cbsn_glo
CNA,https://yydsxll.serv00.net/Smartv.php?id=cna
CNBC,https://yydsxll.serv00.net/Smartv.php?id=cnbc_twn
CNN International,https://yydsxll.serv00.net/Smartv.php?id=Cnn
CNN(備用),https://yydsxll.serv00.net/Smartv.php?id=cnn_twn
DW (Deutsch),https://yydsxll.serv00.net/Smartv.php?id=dw_twn
France 24,https://yydsxll.serv00.net/Smartv.php?id=france24_twn
Skynews,https://yydsxll.serv00.net/Smartv.php?id=skynews_antik
東森財經新聞,https://yydsxll.serv00.net/Smartv.php?id=ettvcaijing_twn
Animax,https://yydsxll.serv00.net/Smartv.php?id=Animax
Baby TV Eng,https://yydsxll.serv00.net/Smartv.php?id=Babytv
Baby TV,https://yydsxll.serv00.net/Smartv.php?id=babytv_twn
Boomerang Taiwan,https://yydsxll.serv00.net/Smartv.php?id=boomerang_twn
Boomerang,https://yydsxll.serv00.net/Smartv.php?id=Boomerang
CBeebies,https://yydsxll.serv00.net/Smartv.php?id=Cbeebies
Cartoon Network,https://yydsxll.serv00.net/Smartv.php?id=Cn
Disney Taiwan,https://yydsxll.serv00.net/Smartv.php?id=disneytwn_twn
